epoch,mode,lr,batch_size,k,kf,model,dataset,rank,numiterations,"effective_rank_site_0_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_0_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_0_Linear(in_features=128, out_features=512, bias=True)32","effective_rank_site_1_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_1_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_1_Linear(in_features=128, out_features=512, bias=True)32","effective_rank_site_agg_Linear(in_features=128, out_features=128, bias=False)13","effective_rank_site_agg_Linear(in_features=512, out_features=128, bias=True)30","effective_rank_site_agg_Linear(in_features=128, out_features=512, bias=True)32",train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,val_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,val_acc_site_1,test_acc_avg,test_loss_avg,test_acc_ensemble,test_loss_ensemble,val_acc_avg,val_loss_avg,val_acc_ensemble,val_loss_ensemble
32,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.010289311408996582,3025.78173828125,0.99664,0.77828,0.0,0.0011292695999145508,3266.318603515625,0.99808,0.79584,0.0,0.7948,1.9208464622497559,0.81212,1.9382419884204865,0.0,0.0,0.0,0
33,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.0017383992671966553,3258.653076171875,0.99848,0.78616,0.0,3.4570693969726562e-06,3427.7109375,1.0,0.79244,0.0,0.79468,1.083178997039795,0.81252,2.0310579538345337,0.0,0.0,0.0,0
34,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.99872040946897,6.0,6.0,11.99872040946897,12.0,12.0,1.5497207641601562e-05,3296.0615234375,1.0,0.78892,0.0,2.288818359375e-05,3523.902587890625,1.0,0.79492,0.0,0.79692,1.551527500152588,0.81496,1.0138416290283203,0.0,0.0,0.0,0
35,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.998080614203455,6.0,6.0,11.998080614203454,12.0,12.0,9.119510650634766e-06,3351.764404296875,1.0,0.7906,0.0,1.0728836059570312e-06,3638.07177734375,1.0,0.79468,0.0,0.79648,1.8881292343139648,0.8156,1.7111839056015015,0.0,0.0,0.0,0
36,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.999360204734485,6.0,6.0,11.999360204734485,12.0,12.0,4.76837158203125e-06,3414.975341796875,1.0,0.7906,0.0,3.933906555175781e-06,3727.03369140625,1.0,0.7946,0.0,0.7974,0.25918713212013245,0.8166,0.29816434532403946,0.0,0.0,0.0,0
37,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,2.086162567138672e-06,3488.208740234375,1.0,0.79148,0.0,4.172325134277344e-07,3805.638671875,1.0,0.79528,0.0,0.79776,0.005011498928070068,0.8164,0.08280489593744278,0.0,0.0,0.0,0
38,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,2.4437904357910156e-06,3561.2236328125,1.0,0.79196,0.0,9.000301361083984e-06,3931.18701171875,1.0,0.79728,0.0,0.79752,1.040820837020874,0.81748,1.7286341786384583,0.0,0.0,0.0,0
39,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.999360204734485,6.0,6.0,11.999360204734485,12.0,12.0,6.556510925292969e-07,3623.38232421875,1.0,0.79128,0.0,0.0001450181007385254,3912.565185546875,0.99912,0.7804,0.0,0.79316,1.9919575452804565,0.809,1.9667358100414276,0.0,0.0,0.0,0
40,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,5.960464477539062e-07,3729.72265625,1.0,0.7914,0.0,0.001841515302658081,3440.84326171875,0.99672,0.79348,0.0,0.79676,0.6535302996635437,0.81504,1.3335108160972595,0.0,0.0,0.0,0
41,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,0.00020390748977661133,3377.426025390625,0.99672,0.7832,0.0,1.1920928955078125e-07,3729.748291015625,1.0,0.79476,0.0,0.79604,0.8343877196311951,0.81204,0.6270487606525421,0.0,0.0,0.0,0
42,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.99872040946897,6.0,6.0,5.999360204734485,6.0,6.0,11.998080614203454,12.0,12.0,0.004423171281814575,3411.55322265625,0.99904,0.7876,0.0,0.0010786056518554688,3513.68994140625,0.9996,0.78976,0.0,0.79704,0.6950631141662598,0.81128,1.098853975534439,0.0,0.0,0.0,0
43,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.999360204734485,6.0,6.0,11.999360204734485,12.0,12.0,7.867813110351562e-06,3396.16943359375,1.0,0.79332,0.0,1.3709068298339844e-06,3919.948974609375,0.9996,0.79252,0.0,0.79744,0.11905203759670258,0.81428,0.12571491301059723,0.0,0.0,0.0,0
44,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,5.999360204734485,6.0,6.0,6.0,6.0,6.0,11.999360204734485,12.0,12.0,0.0002684295177459717,3417.743896484375,0.99968,0.78916,0.0,0.00012981891632080078,3671.931884765625,0.99992,0.7946,0.0,0.79736,0.2844066917896271,0.8182,0.4374944716691971,0.0,0.0,0.0,0
45,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,6.0,6.0,6.0,12.0,12.0,12.0,4.76837158203125e-06,3451.30078125,0.99984,0.79084,0.0,0.0016364455223083496,4179.8427734375,0.99968,0.79308,0.0,0.7986,0.18345823884010315,0.81436,0.35807231068611145,0.0,0.0,0.0,0
46,rankdad,0.0001,8,-1,5,transformer,imdb,8,10,6.0,6.0,6.0,5.99872040946897,6.0,6.0,11.99872040946897,12.0,12.0,4.887580871582031e-06,3482.11669921875,0.99992,0.78808,0.0,0.0005710721015930176,3765.004150390625,0.99984,0.79504,0.0,0.79828,1.6008191108703613,0.81348,1.384632170200348,0.0,0.0,0.0,0
