,epoch,mode,lr,batch_size,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,test_acc_avg
15,15,edad,1e-05,32,0.000250011682510376,0.33591482043266296,0.9644994559303591,0.938,0.14921601116657257,0.33591482043266296,0.9502108556658958,0.938,0.938
16,16,edad,1e-05,32,0.0003132820129394531,0.32472923398017883,0.9669137649619152,0.9394,0.13621021807193756,0.32472923398017883,0.9538838253298871,0.9394,0.9394
17,17,edad,1e-05,32,0.0003891885280609131,0.31493234634399414,0.9693280739934712,0.941,0.12326765805482864,0.31493234634399414,0.9563664807509182,0.941,0.941
18,18,edad,1e-05,32,0.0005242675542831421,0.30649957060813904,0.9713343307943417,0.9423,0.10800473392009735,0.30649957060813904,0.9595633247177254,0.9423,0.9423
19,19,edad,1e-05,32,0.0005833655595779419,0.2992241680622101,0.9730005440696409,0.9434,0.0937827005982399,0.2992241680622101,0.962556114814311,0.9434,0.9434
20,20,edad,1e-05,32,0.000692710280418396,0.29244834184646606,0.9750748095756256,0.9441,0.08206108957529068,0.29244834184646606,0.9645966535165283,0.9441,0.9441
21,21,edad,1e-05,32,0.0008410662412643433,0.286844938993454,0.9771150707290533,0.9452,0.07072852551937103,0.286844938993454,0.9670452999591892,0.9452,0.9452
22,22,edad,1e-05,32,0.0010588914155960083,0.2820206880569458,0.9788832970620239,0.9462,0.060560908168554306,0.2820206880569458,0.9696299823153313,0.9462,0.9462
23,23,edad,1e-05,32,0.0013062506914138794,0.27763012051582336,0.9803794885745375,0.9468,0.05307306721806526,0.27763012051582336,0.9718405659094,0.9468,0.9468
24,24,edad,1e-05,32,0.0017272084951400757,0.2737840414047241,0.9820116974972797,0.9475,0.046838726848363876,0.2737840414047241,0.973234934022582,0.9475,0.9475
25,25,edad,1e-05,32,0.0020945221185684204,0.27013444900512695,0.9835418933623504,0.9482,0.04181883856654167,0.27013444900512695,0.9756835804652428,0.9482,0.9482
26,26,edad,1e-05,32,0.0024140775203704834,0.26671072840690613,0.984528019586507,0.9488,0.036972012370824814,0.26671072840690613,0.977350020405387,0.9488,0.9488
27,27,edad,1e-05,32,0.002758607268333435,0.26373592019081116,0.985582154515778,0.9497,0.031860094517469406,0.26373592019081116,0.979696639912937,0.9497,0.9497
28,28,edad,1e-05,32,0.00285889208316803,0.26047900319099426,0.987180359085963,0.9503,0.02873883955180645,0.26047900319099426,0.9813290708747109,0.9503,0.9503
29,29,edad,1e-05,32,0.0030829012393951416,0.2577136158943176,0.9880644722524483,0.9514,0.025121638551354408,0.2577136158943176,0.9830295197932254,0.9514,0.9514
30,30,edad,1e-05,32,0.0026657283306121826,0.25498121976852417,0.9890165941240479,0.9519,0.022793428972363472,0.25498121976852417,0.9845259148415182,0.9519,0.9519
31,31,edad,1e-05,32,0.0023106038570404053,0.25220638513565063,0.9899347116430903,0.952,0.020852105692029,0.25220638513565063,0.9859883009114406,0.952,0.952
32,32,edad,1e-05,32,0.0016804486513137817,0.24993136525154114,0.9909548422198041,0.9518,0.018302815034985542,0.24993136525154114,0.987314651067882,0.9518,0.9518
33,33,edad,1e-05,32,0.001449674367904663,0.24782583117485046,0.9917709466811752,0.952,0.016017606481909752,0.24782583117485046,0.9881308665487689,0.952,0.952
34,34,edad,1e-05,32,0.001102745532989502,0.24568971991539001,0.9925530467899891,0.9525,0.014550753869116306,0.24568971991539001,0.9894232077268399,0.9525,0.9525
35,35,edad,1e-05,32,0.0009076446294784546,0.24362912774085999,0.9934031556039173,0.9532,0.012907437048852444,0.24362912774085999,0.9901033872942456,0.9532,0.9532
36,36,edad,1e-05,32,0.0006946921348571777,0.24162039160728455,0.9939132208922742,0.9539,0.011351908557116985,0.24162039160728455,0.9909196027751326,0.9539,0.9539
