,epoch,mode,ls1,ls2,acc1,acc2,tls1,tls2,tacc1,tacc2,tlsa,tacca
18,18,dad,0.3079535961151123,0.3079535961151123,0.9099666666666667,0.9099666666666667,0.29735511541366577,0.29735511541366577,0.9099,0.9099,0.3310510218143463,0.9078
19,19,dad,0.2779562175273895,0.2779562175273895,0.9121666666666667,0.9121666666666667,0.2934803366661072,0.2934803366661072,0.9112,0.9112,0.31672847270965576,0.9081
20,20,dad,0.26313045620918274,0.26313045620918274,0.9152666666666667,0.9152666666666667,0.29889976978302,0.29889976978302,0.9129,0.9129,0.32437288761138916,0.9103
21,21,dad,0.36249488592147827,0.36249488592147827,0.9117666666666666,0.9117666666666666,0.2955597937107086,0.2955597937107086,0.9087,0.9087,0.3174673616886139,0.91
22,22,dad,0.5401694774627686,0.5401694774627686,0.9144,0.9144,0.29742804169654846,0.29742804169654846,0.9123,0.9123,0.3250444233417511,0.9104
23,23,dad,0.27226343750953674,0.27226343750953674,0.9162333333333333,0.9162333333333333,0.28438594937324524,0.28438594937324524,0.9153,0.9153,0.3073989748954773,0.9129
24,24,dad,0.2779906690120697,0.2779906690120697,0.9180666666666667,0.9180666666666667,0.2725725471973419,0.2725725471973419,0.917,0.917,0.29995933175086975,0.9166
25,25,dad,0.26096442341804504,0.26096442341804504,0.9163,0.9163,0.29216650128364563,0.29216650128364563,0.9096,0.9096,0.3023107349872589,0.9086
26,26,dad,0.43053483963012695,0.43053483963012695,0.9177,0.9177,0.28273534774780273,0.28273534774780273,0.9111,0.9111,0.30547040700912476,0.9127
27,27,dad,0.34119200706481934,0.34119200706481934,0.9197333333333333,0.9197333333333333,0.29317447543144226,0.29317447543144226,0.9114,0.9114,0.3105873167514801,0.9117
28,28,dad,0.35084131360054016,0.35084131360054016,0.9149666666666667,0.9149666666666667,0.28630492091178894,0.28630492091178894,0.9124,0.9124,0.30918174982070923,0.9113
29,29,dad,0.6553987264633179,0.6553987264633179,0.9185333333333333,0.9185333333333333,0.2832062840461731,0.2832062840461731,0.9098,0.9098,0.3066260516643524,0.9085
30,30,dad,0.452290803194046,0.452290803194046,0.9225333333333333,0.9225333333333333,0.2756628394126892,0.2756628394126892,0.9168,0.9168,0.2798265218734741,0.9161
31,31,dad,0.47424671053886414,0.47424671053886414,0.9255333333333333,0.9255333333333333,0.26111555099487305,0.26111555099487305,0.9224,0.9224,0.27461791038513184,0.9215
32,32,dad,0.7190604209899902,0.7190604209899902,0.9239,0.9239,0.26093319058418274,0.26093319058418274,0.9209,0.9209,0.27209237217903137,0.9202
33,33,dad,0.610393762588501,0.610393762588501,0.9269666666666667,0.9269666666666667,0.2623249888420105,0.2623249888420105,0.922,0.922,0.28002244234085083,0.9232
34,34,dad,0.2506859600543976,0.2506859600543976,0.9258333333333333,0.9258333333333333,0.2751123607158661,0.2751123607158661,0.9185,0.9185,0.28432902693748474,0.9174
35,35,dad,0.3989495635032654,0.3989495635032654,0.9265333333333333,0.9265333333333333,0.26375725865364075,0.26375725865364075,0.9245,0.9245,0.2719816267490387,0.9231
36,36,dad,0.126539409160614,0.126539409160614,0.9288,0.9288,0.2654309570789337,0.2654309570789337,0.9173,0.9173,0.2773607671260834,0.9164
37,37,dad,0.49907541275024414,0.49907541275024414,0.9288666666666666,0.9288666666666666,0.24249501526355743,0.24249501526355743,0.9265,0.9265,0.25516653060913086,0.9251
