,epoch,mode,lr,batch_size,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,train_loss_site_2,test_loss_site_2,train_acc_site_2,test_acc_site_2,test_acc_avg
15,15,noshare,1e-05,32,0.004928290843963623,29.429262161254883,0.9937732774674115,0.4051,0.015774693340063095,39.030277252197266,0.9964495663814679,0.2762,0.12963011860847473,40.244720458984375,0.984986033519553,0.2907,0.2984
16,16,noshare,1e-05,32,0.006132990121841431,29.35973358154297,0.995286312849162,0.4051,0.009369751438498497,39.32944107055664,0.997264419998836,0.2764,0.10671356320381165,40.43510437011719,0.9866154562383612,0.2907,0.3006
17,17,noshare,1e-05,32,0.01074180006980896,29.360456466674805,0.9967993482309124,0.4054,0.004347768146544695,39.49753952026367,0.998079273616204,0.2763,0.08616280555725098,40.69132995605469,0.9883030726256983,0.2911,0.3013
18,18,noshare,1e-05,32,0.014170408248901367,29.40251922607422,0.9977886405959032,0.4056,0.0033460156992077827,39.72542953491211,0.998777719573948,0.2763,0.0604073703289032,40.973880767822266,0.9898743016759777,0.2914,0.3013
19,19,noshare,1e-05,32,0.007151156663894653,29.440481185913086,0.9982541899441341,0.406,0.00278591294772923,39.89281463623047,0.9992433502124439,0.2762,0.03880876302719116,41.25321960449219,0.9911545623836127,0.291,0.302
20,20,noshare,1e-05,32,0.0037396252155303955,29.5351505279541,0.9988943202979516,0.406,0.0026241170708090067,40.023895263671875,0.9994761655316919,0.2761,0.022444099187850952,41.50813293457031,0.9925512104283054,0.2914,0.3019
21,21,noshare,1e-05,32,0.005940347909927368,29.68490219116211,0.9994180633147114,0.4065,0.002278492320328951,40.267173767089844,0.99970898085094,0.2765,0.015312761068344116,41.763633728027344,0.994413407821229,0.2915,0.304
22,22,noshare,1e-05,32,0.005224734544754028,29.893993377685547,0.9997090316573557,0.4068,0.0020119897089898586,40.430625915527344,0.999825388510564,0.277,0.01034596562385559,42.08423614501953,0.9951699255121043,0.2915,0.3052
23,23,noshare,1e-05,32,0.0017278194427490234,29.959312438964844,0.9999418063314711,0.407,0.0010476605966687202,40.59064865112305,0.999883592340376,0.2769,0.009651780128479004,42.37236404418945,0.995751862197393,0.2913,0.3059
24,24,noshare,1e-05,32,0.0012789368629455566,30.100793838500977,0.9999418063314711,0.4076,0.0007148610893636942,40.82529830932617,1.0,0.2773,0.008850634098052979,42.61586380004883,0.9963919925512105,0.2915,0.307
25,25,noshare,1e-05,32,0.0010828375816345215,30.179990768432617,1.0,0.4075,0.0005082755233161151,41.11882019042969,1.0,0.2773,0.009458571672439575,42.91655731201172,0.9969157355679702,0.2918,0.3075
26,26,noshare,1e-05,32,0.0008428096771240234,30.29532814025879,1.0,0.4076,0.00034332275390625,41.37759017944336,1.0,0.2772,0.010976791381835938,43.15379333496094,0.99743947858473,0.2917,0.3086
