,epoch,mode,lr,batch_size,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,test_acc_avg
23,23,dsgd,1e-05,32,0.0013062506914138794,0.27763012051582336,0.9803794885745375,0.9468,0.05307316780090332,0.27763012051582336,0.9718405659094,0.9468,0.9468
24,24,dsgd,1e-05,32,0.0017272084951400757,0.2737840414047241,0.9820116974972797,0.9475,0.04683879390358925,0.2737840414047241,0.973234934022582,0.9475,0.9475
25,25,dsgd,1e-05,32,0.0020945221185684204,0.27013444900512695,0.9835418933623504,0.9482,0.04181879013776779,0.27013444900512695,0.9756835804652428,0.9482,0.9482
26,26,dsgd,1e-05,32,0.0024140775203704834,0.2667107582092285,0.984528019586507,0.9488,0.03697197884321213,0.2667107582092285,0.977350020405387,0.9488,0.9488
27,27,dsgd,1e-05,32,0.0027585774660110474,0.26373592019081116,0.985582154515778,0.9497,0.03186006098985672,0.26373592019081116,0.979696639912937,0.9497,0.9497
28,28,dsgd,1e-05,32,0.0028589218854904175,0.2604789733886719,0.987180359085963,0.9503,0.02873912826180458,0.2604789733886719,0.9813290708747109,0.9503,0.9503
29,29,dsgd,1e-05,32,0.0030819177627563477,0.25771060585975647,0.9880644722524483,0.9514,0.025129828602075577,0.25771060585975647,0.9830295197932254,0.9514,0.9514
30,30,dsgd,1e-05,32,0.0026878714561462402,0.2549414336681366,0.9890846028291621,0.9519,0.02272767759859562,0.2549414336681366,0.9845259148415182,0.9519,0.9519
31,31,dsgd,1e-05,32,0.0022960156202316284,0.25236108899116516,0.9899687159956474,0.9517,0.020979199558496475,0.25236108899116516,0.9860223098898109,0.9517,0.9517
32,32,dsgd,1e-05,32,0.0016932785511016846,0.24994897842407227,0.990920837867247,0.9518,0.018408434465527534,0.24994897842407227,0.9873826690246225,0.9518,0.9518
33,33,dsgd,1e-05,32,0.0014749914407730103,0.2478843778371811,0.9917369423286181,0.9519,0.0158527921885252,0.2478843778371811,0.9882328934838798,0.9519,0.9519
34,34,dsgd,1e-05,32,0.0011634230613708496,0.2457856386899948,0.9927230685527747,0.9524,0.014599697664380074,0.2457856386899948,0.9892531628349884,0.9524,0.9524
35,35,dsgd,1e-05,32,0.0008895397186279297,0.2437075972557068,0.9934031556039173,0.9529,0.012676818296313286,0.2437075972557068,0.9903074411644675,0.9529,0.9529
