,epoch,mode,lr,batch_size,train_loss_site_0,test_loss_site_0,train_acc_site_0,test_acc_site_0,train_loss_site_1,test_loss_site_1,train_acc_site_1,test_acc_site_1,train_loss_site_2,test_loss_site_2,train_acc_site_2,test_acc_site_2,test_acc_avg
10,10,dsgd,1e-05,32,0.47340190410614014,0.5527347326278687,0.9256284916201117,0.9102,1.4164901971817017,0.5527347326278687,0.929806181246726,0.9102,0.9032467007637024,0.5527347326278687,0.8987430167597765,0.9102,0.9102
11,11,dsgd,1e-05,32,0.41300836205482483,0.5222318172454834,0.9291783054003724,0.9134,1.3960464000701904,0.5222318172454834,0.9341132646528142,0.9134,0.8297854661941528,0.5222318172454834,0.904562383612663,0.9134,0.9134
12,12,dsgd,1e-05,32,0.35388410091400146,0.4956812560558319,0.9342993482309124,0.9166,1.3720206022262573,0.4956812560558319,0.9391769978464583,0.9166,0.7680469751358032,0.4956812560558319,0.9108472998137802,0.9166,0.9166
13,13,dsgd,1e-05,32,0.29483336210250854,0.47273486852645874,0.9389548417132216,0.9193,1.3453055620193481,0.47273486852645874,0.9424364123159303,0.9193,0.7125622034072876,0.47273486852645874,0.9164338919925512,0.9193,0.9193
14,14,dsgd,1e-05,32,0.23990952968597412,0.45271968841552734,0.9438431098696461,0.9216,1.3210383653640747,0.45271968841552734,0.9453466038065305,0.9216,0.6610523462295532,0.45271968841552734,0.9206238361266295,0.9216,0.9216
15,15,dsgd,1e-05,32,0.1947115659713745,0.434573769569397,0.946927374301676,0.9232,1.296724557876587,0.434573769569397,0.9480821838076946,0.9232,0.6072095632553101,0.434573769569397,0.9247555865921788,0.9232,0.9232
16,16,dsgd,1e-05,32,0.1520916372537613,0.41887304186820984,0.9498370577281192,0.9247,1.2789298295974731,0.41887304186820984,0.9514580059367906,0.9247,0.5509458780288696,0.41887304186820984,0.9285963687150838,0.9247,0.9247
17,17,dsgd,1e-05,32,0.1274775266647339,0.40438705682754517,0.9522811918063314,0.928,1.2667617797851562,0.40438705682754517,0.9540771782783307,0.928,0.49487385153770447,0.40438705682754517,0.932786312849162,0.928,0.928
18,18,dsgd,1e-05,32,0.10403082519769669,0.3913414180278778,0.9552490689013036,0.9302,1.2493886947631836,0.3913414180278778,0.9575112042372388,0.9302,0.44121846556663513,0.3913414180278778,0.9365107076350093,0.9302,0.9302
19,19,dsgd,1e-05,32,0.0854899138212204,0.3793641924858093,0.9576932029795159,0.9314,1.230149507522583,0.3793641924858093,0.9601303765787789,0.9314,0.3972874879837036,0.3793641924858093,0.9399441340782123,0.9314,0.9314
20,20,dsgd,1e-05,32,0.07184851914644241,0.36907169222831726,0.9605446927374302,0.9329,1.2087763547897339,0.36907169222831726,0.962982364239567,0.9329,0.3585512340068817,0.36907169222831726,0.9430283985102421,0.9329,0.9329
21,21,dsgd,1e-05,32,0.05504284054040909,0.3596412241458893,0.9626396648044693,0.9343,1.1851379871368408,0.3596412241458893,0.965834351900355,0.9343,0.3309040069580078,0.3596412241458893,0.9459962756052142,0.9343,0.9343
22,22,dsgd,1e-05,32,0.04375828057527542,0.35105645656585693,0.9651419925512105,0.9361,1.1590126752853394,0.35105645656585693,0.9686863395611431,0.9361,0.30456259846687317,0.35105645656585693,0.9492551210428305,0.9361,0.9361
23,23,dsgd,1e-05,32,0.03417445719242096,0.3435693681240082,0.9670041899441341,0.938,1.1357992887496948,0.3435693681240082,0.9710726965834352,0.938,0.28207117319107056,0.3435693681240082,0.9518738361266295,0.938,0.938
24,24,dsgd,1e-05,32,0.026853956282138824,0.3364717364311218,0.96875,0.9388,1.1100740432739258,0.3364717364311218,0.9722949770094872,0.9388,0.264203280210495,0.3364717364311218,0.9544343575418994,0.9388,0.9388
25,25,dsgd,1e-05,32,0.020830638706684113,0.33014822006225586,0.9705540037243948,0.9396,1.0842009782791138,0.33014822006225586,0.9737500727547873,0.9396,0.24745242297649384,0.33014822006225586,0.9562965549348231,0.9396,0.9396
